"country";"energy_type";"year";"emission";"per_capita_emission"
"American Samoa";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Antarctica";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Antigua and Barbuda";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Aruba";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Belize";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Bermuda";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Bhutan";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Botswana";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"British Virgin Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Burkina Faso";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Burundi";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Cabo Verde";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Cambodia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Cayman Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Central African Republic";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Chad";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Comoros";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Congo-Kinshasa";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Cook Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Costa Rica";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Cyprus";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Djibouti";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Dominica";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"El Salvador";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Eritrea";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Eswatini";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Ethiopia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Falkland Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Faroe Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Fiji";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"French Polynesia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Gambia, The";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Greenland";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Grenada";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Guam";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Guinea";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Guinea-Bissau";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Honduras";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Iceland";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Kenya";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Kiribati";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Kosovo";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Laos";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Lebanon";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Lesotho";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Liberia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Madagascar";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Malawi";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Maldives";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Mali";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Mauritania";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Mauritius";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Micronesia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Mongolia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Montenegro";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Montserrat";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Namibia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Nauru";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Nepal";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Netherlands Antilles";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"New Caledonia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Nicaragua";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Niue";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"North Korea";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Northern Mariana Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Palestinian Territories";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Paraguay";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Saint Helena";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Saint Kitts and Nevis";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Saint Lucia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Saint Pierre and Miquelon";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Saint Vincent/Grenadines";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Samoa";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Sao Tome and Principe";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Seychelles";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Sierra Leone";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Solomon Islands";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
"Somalia";"Consumed natural gas (MMtonnes CO2)";2020;0;0.007126096
